latitude;longitude;bright_ti4;scan;track;type
-371.662;10.718.828;305.05.00;00.38;00.36;-0,093028991
-372.802;10.724.195;306.06.00;00.38;00.36;-0,093845846
-373.941;10.729.562;321;00.38;00.36;-0,094662701
-375.080;10.734.929;323;00.49;00.04;-0,095479556
-376.219;10.740.296;308.05.00;00.39;00.36;-0,09629641
-377.359;10.745.662;315.09.00;00.39;00.36;-0,097113265
-378.498;10.751.029;333.06.00;00.38;00.36;-0,09793012
-379.637;10.756.396;316.02.00;00.39;00.36;-0,098746975
-380.777;10.761.763;303.02.00;00.38;00.36;-0,09956383
-381.916;10.767.130;311.08.00;00.38;00.36;-0,100380685
-383.055;10.772.497;302.09.00;00.39;00.36;-0,10119754
-384.195;10.777.864;310.08.00;00.39;00.36;-0,102014395
-385.334;10.783.231;303;00.38;00.36;-0,10283125
-386.473;10.788.597;302.09.00;00.38;00.36;-0,103648105
-387.613;10.793.964;309.01.00;00.38;00.36;-0,10446496
-388.752;10.799.331;307.01.00;00.39;00.36;-0,105281815
-389.891;10.804.698;312.06.00;00.38;00.36;-0,10609867
-391.031;10.810.065;317.09.00;00.43;2,043055556;-0,106915525
-392.170;10.815.432;302.06.00;00.38;00.36;-0,10773238
-393.309;10.820.799;308.02.00;00.39;00.36;-0,108549235
-394.449;10.826.166;310.04.00;00.39;00.36;-0,10936609
-395.588;10.831.532;309.01.00;00.39;00.36;-0,110182945
-396.727;10.836.899;304.06.00;00.38;00.36;-0,1109998
-397.867;10.842.266;317.04.00;00.38;00.36;-0,111816655
-399.006;10.847.633;305.05.00;00.38;00.36;-0,11263351
-400.145;10.853.000;304.09.00;00.38;00.36;-0,113450365
-401.285;10.858.367;306.04.00;00.38;00.36;-0,114267219
-402.424;10.863.734;345;00.38;00.36;-0,115084074
-403.563;10.869.100;316.05.00;00.38;00.36;-0,115900929
-404.703;10.874.467;324.05.00;00.38;00.36;-0,116717784
-405.842;10.879.834;320.07.00;00.47;00.39;-0,117534639
-406.981;10.885.201;351.01.00;00.45;00.39;-0,118351494
-408.121;10.890.568;312.01.00;00.45;00.39;-0,119168349
-409.260;10.895.935;303.04.00;00.45;00.39;-0,119985204
-410.399;10.901.302;306.02.00;00.45;00.39;-0,120802059
-411.539;10.906.669;329.02.00;00.45;00.39;-0,121618914
-412.678;10.912.035;318.06.00;00.38;00.36;-0,122435769
-413.817;10.917.402;304.02.00;00.38;00.36;-0,123252624
-414.957;10.922.769;319.08.00;00.45;00.39;-0,124069479
-416.096;10.928.136;305.02.00;00.53;00.42;-0,124886334
-417.235;10.933.503;312.08.00;00.45;00.39;-0,125703189
-418.375;10.938.870;313.01.00;00.46;00.39;-0,126520044
-419.514;10.944.237;320.08.00;00.53;00.42;-0,127336899
-420.653;10.949.604;324.07.00;00.53;00.42;-0,128153754
-421.793;10.954.970;330.01.00;00.53;00.42;-0,128970609
-422.932;10.960.337;342.07.00;00.45;00.39;-0,129787464
-424.071;10.965.704;316.03.00;00.45;00.39;-0,130604319
-425.211;10.971.071;310.09.00;00.45;00.39;-0,131421173
-426.350;10.976.438;305.06.00;00.45;00.39;-0,132238028
-427.489;10.981.805;314.04.00;00.45;00.39;-0,133054883
-428.629;10.987.172;304.08.00;00.45;00.39;-0,133871738
-429.768;10.992.538;320.09.00;00.45;00.39;-0,134688593
-430.907;10.997.905;323.01.00;00.45;00.39;-0,135505448
-432.047;11.003.272;346.09.00;00.45;00.39;-0,136322303
-433.186;11.008.639;307.01.00;00.45;00.39;-0,137139158
-434.325;11.014.006;346.06.00;00.45;00.39;-0,137956013
-435.465;11.019.373;351.07.00;00.45;00.39;-0,138772868
-436.604;11.024.740;322.01.00;00.45;00.39;-0,139589723
